concelho,taxa_2009,taxa_2025,variacao_pontos
Ribeira de Pena,30.1,3.1,27.0
Rio Maior,16.1,8.5,7.6
Sabrosa,24.4,5.8,18.6
Sabugal,14.4,5.6,8.8
Salvaterra de Magos,22.7,12.9,9.8
Santa Comba Dão,21.4,6.9,14.5
Santarém,13.6,7.5,6.1
Santiago do Cacém,16.7,8.8,7.9
Sardoal,8.7,6.0,2.7
Seia,11.7,6.7,5.0
Seixal,23.8,10.7,13.1
Sernancelhe,8.8,8.4,0.4
Serpa,17.8,13.2,4.6
Sertã,18.1,10.0,8.1
Sesimbra,25.5,7.1,18.4
Setúbal,20.0,7.7,12.3
Sever do Vouga,13.0,3.7,9.3
Silves,22.5,9.0,13.5
Sines,22.5,10.4,12.1
Sintra,24.7,9.6,15.1
Sobral de Monte Agraço,16.0,7.0,9.0
Soure,12.7,10.1,2.6
Sátão,14.0,7.2,6.8
São Brás de Alportel,10.6,9.1,1.5
São João da Pesqueira,16.8,7.2,9.6
Tabuaço,16.0,2.9,13.1
Tarouca,35.1,3.3,31.8
Tavira,18.1,15.4,2.7
Terras de Bouro,17.0,6.4,10.6
Tomar,11.5,5.1,6.4
Tondela,16.8,4.0,12.8
Torre de Moncorvo,28.9,7.3,21.6
Torres Novas,14.4,5.7,8.7
Torres Vedras,17.7,16.7,1.0
Trancoso,15.2,7.1,8.1
Tábua,28.4,10.6,17.8
Valença,14.5,12.4,2.1
Valpaços,28.9,5.4,23.5
Viana do Castelo,15.9,10.8,5.1
Vidigueira,32.1,13.1,19.0
Vieira do Minho,21.8,9.3,12.5
Vila Flor,24.6,6.0,18.6
Vila Franca de Xira,17.9,6.3,11.6
Vila Nova da Barquinha,7.2,2.0,5.2
Vila Nova de Cerveira,22.6,5.6,17.0
Vila Nova de Famalicão,18.5,8.5,10.0
Vila Nova de Foz Côa,27.2,3.4,23.8
Vila Nova de Paiva,20.8,14.3,6.5
Vila Nova de Poiares,27.4,7.6,19.8
Vila Pouca de Aguiar,28.0,4.1,23.9
Vila Real,20.5,6.9,13.6
Vila Real de Santo António,21.4,17.3,4.1
Vila Verde,14.6,8.1,6.5
Vila Viçosa,23.1,3.3,19.8
Vila de Rei,16.7,8.1,8.6
Vinhais,31.1,5.9,25.2
Viseu,16.3,3.7,12.6
Vizela,18.2,9.9,8.3
Vouzela,18.7,7.9,10.8
Águeda,21.4,1.5,19.9
Ílhavo,21.0,5.4,15.6
Óbidos,20.8,16.7,4.1
